I_est,F,G,A,H,T
0,"[9.999999974752427e-07, [['1001269777', 0.05299999937415123], ['1010224167', 0.05299999937415123], ['1014258880', 0.05299999937415123], ['1015468211', 0.05299999937415123], ['1019107402', 0.05299999937415123], ['1019115391', 0.05299999937415123], ['1020804505', 0.05299999937415123], ['1020813120', 0.05299999937415123], ['1020814482', 0.05299999937415123], ['1022422154', 0.05299999937415123], ['1026295355', 0.05299999937415123], ['1031137228', 0.05299999937415123], ['1049644393', 0.05299999937415123], ['1072709246', 0.05299999937415123], ['1073518685', 0.05299999937415123], ['1094962099', 0.05299999937415123], ['1102878153', 0.05299999937415123], ['1126242201', 0.05299999937415123], ['436994', 0.05299999937415123]]]","[['Female', 0.5], ['Male', 0.5]]","[35L, 0L]","[180.60000610351562, 0.07999999821186066]",821
0,"[0.7950000166893005, [['1020813120', 0.3540000021457672], ['1102878153', 0.33000001311302185], ['1020804505', 0.2770000100135803], ['1026295355', 0.24899999797344208], ['1020814482', 0.2240000069141388], ['1019115391', 0.1809999942779541], ['1010224167', 0.15399999916553497], ['1094962099', 0.1420000046491623], ['1031137228', 0.13500000536441803], ['1015468211', 0.1120000034570694], ['436994', 0.10700000077486038], ['1126242201', 0.09200000017881393], ['1001269777', 0.08699999749660492], ['1073518685', 0.07500000298023224], ['1019107402', 0.07100000232458115], ['1072709246', 0.06499999761581421], ['1049644393', 0.035999998450279236], ['1022422154', 0.006000000052154064], ['1014258880', 0.0], ['1020815953', 0.0]]]","[['Female', 0.8100000023841858], ['Male', 0.1899999976158142]]","[23L, 0.6660000085830688]","[173.3000030517578, 0.07999999821186066]",822
0,"[0.8529999852180481, [['1001269777', 0.3720000088214874], ['1020814482', 0.3050000071525574], ['1019115391', 0.27799999713897705], ['1022422154', 0.27300000190734863], ['1031137228', 0.2619999945163727], ['1020813120', 0.24899999797344208], ['1010224167', 0.23100000619888306], ['1072709246', 0.21699999272823334], ['1015468211', 0.2160000056028366], ['1126242201', 0.2150000035762787], ['1019107402', 0.1850000023841858], ['1026295355', 0.16500000655651093], ['1102878153', 0.1469999998807907], ['1073518685', 0.13099999725818634], ['1020804505', 0.12099999934434891], ['436994', 0.10599999874830246], ['1049644393', 0.07500000298023224], ['1094962099', 0.07500000298023224], ['1020804987', 0.05700000002980232], ['1020815953', 0.052000001072883606], ['1014258880', 0.0]]]","[['Female', 0.1600000262260437], ['Male', 0.8399999737739563]]","[26L, 0.6660000085830688]","[180.1999969482422, 0.07999999821186066]",822
0,"[0.7990000247955322, [['1026295355', 0.48899999260902405], ['1020804505', 0.335999995470047], ['1022422154', 0.33500000834465027], ['1020813120', 0.29899999499320984], ['1020814482', 0.2680000066757202], ['1015468211', 0.2619999945163727], ['1010224167', 0.24300000071525574], ['1031137228', 0.21899999678134918], ['1019115391', 0.20900000631809235], ['1102878153', 0.17499999701976776], ['1020804987', 0.17499999701976776], ['1126242201', 0.16699999570846558], ['1019107402', 0.15000000596046448], ['1094962099', 0.1289999932050705], ['1015468796', 0.12399999797344208], ['1049644393', 0.10199999809265137], ['1072709246', 0.09099999815225601], ['1073518685', 0.06700000166893005], ['1020815953', 0.06199999898672104], ['1001269777', 0.05299999937415123], ['436994', 0.04800000041723251], ['1014258880', 0.0]]]","[['Female', 0.7789999842643738], ['Male', 0.22100001573562622]]","[21L, 0.5]","[171.10000610351562, 0.07999999821186066]",824
0,"[0.7120000123977661, [['1014258880', 0.3009999990463257], ['1020804505', 0.19599999487400055], ['1026295355', 0.18299999833106995], ['1015468211', 0.11500000208616257], ['1126242201', 0.11100000143051147], ['1020804987', 0.10400000214576721], ['1102878153', 0.0860000029206276], ['1031137228', 0.06400000303983688], ['1010224167', 0.057999998331069946], ['1020814482', 0.05700000002980232], ['1022422154', 0.0560000017285347], ['1094962099', 0.050999999046325684], ['1019107402', 0.03799999877810478], ['1019115391', 0.02800000086426735], ['1015468796', 0.008999999612569809], ['1020813120', 0.007000000216066837], ['1049644393', 0.0], ['1072709246', 0.0], ['436994', 0.0], ['1073518685', 0.0], ['1001269777', 0.0], ['1020815953', 0.0]]]","[['Female', 0.7310000061988831], ['Male', 0.26899999380111694]]","[29L, 0.3330000042915344]","[182.5, 0.07999999821186066]",827
0,"[0.7730000019073486, [['1022422154', 0.29899999499320984], ['1019115391', 0.2800000011920929], ['1020814482', 0.23800000548362732], ['1049644393', 0.2160000056028366], ['1031137228', 0.2029999941587448], ['1126242201', 0.1940000057220459], ['1015468796', 0.1889999955892563], ['1014258880', 0.1770000010728836], ['1026295355', 0.16099999845027924], ['1010224167', 0.15800000727176666], ['1001269777', 0.15199999511241913], ['1020813120', 0.1420000046491623], ['1019107402', 0.10199999809265137], ['1020804987', 0.09600000083446503], ['436994', 0.07500000298023224], ['1102878153', 0.0689999982714653], ['1072709246', 0.061000000685453415], ['1020804505', 0.05999999865889549], ['1094962099', 0.054999999701976776], ['1015468211', 0.05299999937415123], ['1073518685', 0.027000000700354576], ['1020815953', 0.0], ['52883703', 0.0]]]","[['Female', 0.04100000858306885], ['Male', 0.9589999914169312]]","[29L, 0.5]","[181.5, 0.07999999821186066]",828
0,"[0.6880000233650208, [['1020814482', 0.6579999923706055], ['1020813120', 0.335999995470047], ['1126242201', 0.28999999165534973], ['1102878153', 0.23899999260902405], ['1022422154', 0.22100000083446503], ['1015468796', 0.19900000095367432], ['1019115391', 0.19300000369548798], ['1020804505', 0.19300000369548798], ['1094962099', 0.1899999976158142], ['1026295355', 0.17100000381469727], ['1015468211', 0.17000000178813934], ['1020804987', 0.17000000178813934], ['1014258880', 0.15600000321865082], ['1010224167', 0.12800000607967377], ['1019107402', 0.12300000339746475], ['1031137228', 0.10599999874830246], ['1001269777', 0.07699999958276749], ['436994', 0.06599999964237213], ['52883703', 0.05900000035762787], ['1031150558', 0.03500000014901161], ['1049644393', 0.0], ['1072709246', 0.0], ['1073518685', 0.0], ['1020815953', 0.0]]]","[['Female', 0.16600000858306885], ['Male', 0.8339999914169312]]","[20L, 0.4000000059604645]","[177.60000610351562, 0.07999999821186066]",804
0,"[0.6899999976158142, [['1020814482', 0.8899999856948853], ['1126242201', 0.33500000834465027], ['1020813120', 0.3310000002384186], ['1019115391', 0.2980000078678131], ['1102878153', 0.2759999930858612], ['1020804987', 0.2540000081062317], ['1022422154', 0.24799999594688416], ['1010224167', 0.2460000067949295], ['1014258880', 0.2409999966621399], ['1015468796', 0.20800000429153442], ['1019107402', 0.1889999955892563], ['1026295355', 0.16599999368190765], ['1020804505', 0.15199999511241913], ['1015468211', 0.14399999380111694], ['1094962099', 0.13500000536441803], ['1001269777', 0.12999999523162842], ['1031137228', 0.125], ['436994', 0.0949999988079071], ['52883703', 0.09399999678134918], ['1031150558', 0.09200000017881393], ['1073518685', 0.06800000369548798], ['1072709246', 0.061000000685453415], ['1049644393', 0.027000000700354576], ['1020815953', 0.0]]]","[['Female', 0.19099998474121094], ['Male', 0.8090000152587891]]","[21L, 0.5]","[167.39999389648438, 0.07999999821186066]",805
0,"[0.5770000219345093, [['1010224167', 0.34599998593330383], ['1020814482', 0.33000001311302185], ['1019115391', 0.30300000309944153], ['1102878153', 0.2750000059604645], ['1020813120', 0.26600000262260437], ['1126242201', 0.26600000262260437], ['1001269777', 0.2619999945163727], ['1015468796', 0.25999999046325684], ['1019107402', 0.2540000081062317], ['1014258880', 0.25200000405311584], ['1026295355', 0.23499999940395355], ['1072709246', 0.2329999953508377], ['1022422154', 0.2329999953508377], ['1031137228', 0.19200000166893005], ['1073518685', 0.18299999833106995], ['1020815953', 0.1589999943971634], ['1031150558', 0.15399999916553497], ['1015468211', 0.12099999934434891], ['1020804505', 0.11900000274181366], ['1094962099', 0.08100000023841858], ['1020804987', 0.07900000363588333], ['436994', 0.050999999046325684], ['52883703', 0.03500000014901161], ['1049644393', 0.00800000037997961]]]","[['Female', 0.3320000171661377], ['Male', 0.6679999828338623]]","[23L, 0.2849999964237213]","[179.60000610351562, 0.07999999821186066]",805
0,"[0.6499999761581421, [['1026582059', 0.49000000953674316], ['1015468796', 0.41200000047683716], ['1022422154', 0.36899998784065247], ['1126242201', 0.32600000500679016], ['1020814482', 0.3190000057220459], ['1010224167', 0.3160000145435333], ['1020813120', 0.24699999392032623], ['1026295355', 0.23999999463558197], ['1014258880', 0.23600000143051147], ['1001269777', 0.21299999952316284], ['1019115391', 0.19300000369548798], ['1031137228', 0.1770000010728836], ['1015468211', 0.17399999499320984], ['1019107402', 0.1340000033378601], ['1102878153', 0.12399999797344208], ['1031150558', 0.12099999934434891], ['1020815953', 0.10000000149011612], ['1073518685', 0.0949999988079071], ['1020804987', 0.09300000220537186], ['1020804505', 0.07199999690055847], ['52883703', 0.07100000232458115], ['1072709246', 0.06700000166893005], ['1049644393', 0.06400000303983688], ['1094962099', 0.050999999046325684], ['436994', 0.0]]]","[['Female', 0.30800002813339233], ['Male', 0.6919999718666077]]","[18L, 1.0]","[174.39999389648438, 0.07999999821186066]",806
0,"[0.847000002861023, [['1094962099', 0.41499999165534973], ['1020813120', 0.38600000739097595], ['1020804987', 0.3319999873638153], ['1026295355', 0.32100000977516174], ['1014258880', 0.257999986410141], ['1102878153', 0.24400000274181366], ['1020804505', 0.2409999966621399], ['1015468211', 0.1899999976158142], ['1022422154', 0.16099999845027924], ['1126242201', 0.15299999713897705], ['1001269777', 0.14399999380111694], ['1020814482', 0.13500000536441803], ['1019115391', 0.13300000131130219], ['1010224167', 0.12300000339746475], ['1031137228', 0.1120000034570694], ['1019107402', 0.0820000022649765], ['1031150558', 0.07999999821186066], ['1026582059', 0.07500000298023224], ['436994', 0.06800000369548798], ['1015468796', 0.06800000369548798], ['1020815953', 0.05700000002980232], ['1072709246', 0.054999999701976776], ['1015461098', 0.050999999046325684], ['52883703', 0.03799999877810478], ['1049644393', 0.035999998450279236], ['1073518685', 0.0020000000949949026]]]","[['Female', 0.7699999809265137], ['Male', 0.23000001907348633]]","[17L, 0.4000000059604645]","[169.60000610351562, 0.07999999821186066]",807
0,"[0.5659999847412109, [['1031137228', 0.47699999809265137], ['1019107402', 0.41999998688697815], ['1020815953', 0.3089999854564667], ['1010224167', 0.2919999957084656], ['1015461098', 0.2849999964237213], ['1001269777', 0.2639999985694885], ['1020813120', 0.2460000067949295], ['1015468796', 0.2370000034570694], ['1102878153', 0.20800000429153442], ['1019115391', 0.18299999833106995], ['1078372140', 0.17499999701976776], ['1026582059', 0.1599999964237213], ['436994', 0.1550000011920929], ['1094962099', 0.15000000596046448], ['1020814482', 0.14399999380111694], ['1014258880', 0.14000000059604645], ['1126242201', 0.1340000033378601], ['1026295355', 0.13099999725818634], ['1020804505', 0.12600000202655792], ['1072709246', 0.10700000077486038], ['1022422154', 0.10000000149011612], ['1073518685', 0.09099999815225601], ['1020804987', 0.08500000089406967], ['1015468211', 0.05900000035762787], ['1049644393', 0.0], ['52883703', 0.0], ['1031150558', 0.0]]]","[['Female', 0.003000020980834961], ['Male', 0.996999979019165]]","[22L, 0.6660000085830688]","[176.10000610351562, 0.07999999821186066]",808
0,"[0.628000020980835, [['1010224167', 0.3540000021457672], ['1014258880', 0.35100001096725464], ['1019115391', 0.33899998664855957], ['1026582059', 0.2980000078678131], ['1020815953', 0.28999999165534973], ['1001269777', 0.2840000092983246], ['1031137228', 0.27300000190734863], ['1026295355', 0.23999999463558197], ['1073518685', 0.22300000488758087], ['1126242201', 0.20900000631809235], ['1015461098', 0.20499999821186066], ['1020814482', 0.20000000298023224], ['1015468211', 0.18299999833106995], ['436994', 0.17599999904632568], ['1016079347', 0.17299999296665192], ['1022422154', 0.1720000058412552], ['1020813120', 0.17000000178813934], ['1019107402', 0.1550000011920929], ['1015468796', 0.14900000393390656], ['1072709246', 0.13600000739097595], ['1102878153', 0.11100000143051147], ['1078372140', 0.10100000351667404], ['1020804505', 0.0689999982714653], ['1031150558', 0.0689999982714653], ['1020804987', 0.06199999898672104], ['52883703', 0.03999999910593033], ['1049644393', 0.03799999877810478], ['1094962099', 0.0]]]","[['Female', 0.17900002002716064], ['Male', 0.8209999799728394]]","[27L, 0.4000000059604645]","[193.6999969482422, 0.07999999821186066]",808
0,"[0.7609999775886536, [['1001269777', 0.3970000147819519], ['1015468796', 0.3779999911785126], ['1022422154', 0.33799999952316284], ['1126242201', 0.335999995470047], ['1010224167', 0.33000001311302185], ['1031150558', 0.3230000138282776], ['1020814482', 0.3009999990463257], ['1094962099', 0.27300000190734863], ['1026295355', 0.26100000739097595], ['1020813120', 0.2529999911785126], ['1019115391', 0.23199999332427979], ['1015461098', 0.2240000069141388], ['1026582059', 0.2160000056028366], ['1102878153', 0.20200000703334808], ['1020804987', 0.19099999964237213], ['1014258880', 0.15600000321865082], ['1016079347', 0.15600000321865082], ['1032473955', 0.14900000393390656], ['1031137228', 0.14800000190734863], ['1078372140', 0.13300000131130219], ['1073518685', 0.10000000149011612], ['436994', 0.09399999678134918], ['1015468211', 0.08699999749660492], ['1019107402', 0.0860000029206276], ['1020815953', 0.0860000029206276], ['1020804505', 0.07699999958276749], ['1072709246', 0.0729999989271164], ['1049644393', 0.07199999690055847], ['52883703', 0.014000000432133675]]]","[['Female', 0.2990000247955322], ['Male', 0.7009999752044678]]","[25L, 0.6660000085830688]","[176.1999969482422, 0.07999999821186066]",809
